"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 08, 2019","1,017.95","1,014.55","1,018.31","1,013.48","61.72K","0.34%"
"Apr 05, 2019","1,014.55","1,009.08","1,015.71","1,009.08","54.41K","0.58%"
"Apr 04, 2019","1,008.67","1,005.54","1,010.50","1,005.41","49.80K","0.41%"
"Apr 03, 2019","1,004.56","1,000.48","1,004.56","998.25","51.28K","0.43%"
"Apr 02, 2019","1,000.23","999.77","1,007.81","998.62","59.70K","0.08%"
"Apr 01, 2019","999.39","993.38","1,000.12","993.38","51.33K","0.61%"
"Mar 29, 2019","993.38","995.33","998.31","992.94","46.27K","-0.13%"
"Mar 28, 2019","994.64","988.84","994.64","984.38","52.24K","0.53%"
"Mar 27, 2019","989.37","982.94","990.72","982.94","41.37K","0.65%"
"Mar 26, 2019","983.00","976.89","986.99","975.95","57.28K","0.63%"
"Mar 25, 2019","976.89","998.66","998.66","974.22","70.30K","-2.20%"
"Mar 22, 2019","998.86","999.49","1,006.13","992.70","55.48K","-0.05%"
"Mar 21, 2019","999.35","1,016.28","1,021.84","999.34","69.36K","-1.72%"
"Mar 20, 2019","1,016.84","1,018.80","1,018.80","1,005.05","56.57K","-0.21%"
"Mar 19, 2019","1,018.95","1,027.23","1,030.55","1,017.30","73.72K","-0.80%"
"Mar 18, 2019","1,027.20","1,024.00","1,029.99","1,024.00","64.78K","0.33%"
"Mar 15, 2019","1,023.86","1,027.85","1,029.29","1,021.69","67.40K","-0.39%"
"Mar 14, 2019","1,027.84","1,024.35","1,031.23","1,021.88","68.60K","0.33%"
"Mar 13, 2019","1,024.43","1,024.69","1,031.35","1,024.23","67.62K","-0.03%"
"Mar 12, 2019","1,024.69","1,016.47","1,024.69","1,016.47","67.40K","0.84%"
"Mar 11, 2019","1,016.15","1,013.72","1,017.66","1,009.40","60.24K","0.24%"
"Mar 08, 2019","1,013.70","1,027.20","1,027.20","1,010.13","79.97K","-1.31%"
"Mar 07, 2019","1,027.20","1,034.30","1,038.43","1,027.01","75.35K","-0.66%"
"Mar 06, 2019","1,033.98","1,028.36","1,033.98","1,024.52","82.74K","0.55%"
"Mar 05, 2019","1,028.36","1,029.60","1,036.19","1,026.29","109.94K","-0.11%"
"Mar 04, 2019","1,029.47","1,018.50","1,030.13","1,018.50","102.80K","1.07%"
"Mar 01, 2019","1,018.55","1,005.89","1,018.55","1,005.89","59.88K","1.26%"
"Feb 28, 2019","1,005.87","1,019.10","1,023.46","1,004.86","78.39K","-1.29%"
"Feb 27, 2019","1,019.01","1,008.93","1,019.01","1,008.93","99.53K","1.00%"
"Feb 26, 2019","1,008.89","1,001.24","1,008.89","1,000.90","89.93K","0.72%"
"Feb 25, 2019","1,001.63","992.21","1,003.25","992.21","65.60K","0.95%"
"Feb 22, 2019","992.18","989.38","992.99","984.93","67.79K","0.29%"
"Feb 21, 2019","989.35","990.14","994.53","987.29","58.56K","-0.04%"
"Feb 20, 2019","989.76","989.69","993.31","986.97","51.17K","0.02%"
"Feb 19, 2019","989.58","999.98","1,002.21","989.58","70.59K","-1.02%"
"Feb 18, 2019","999.82","988.06","999.82","988.06","62.28K","1.19%"
"Feb 15, 2019","988.06","985.84","990.16","980.13","55.00K","0.23%"
"Feb 14, 2019","985.78","984.60","988.77","982.01","57.73K","0.12%"
"Feb 13, 2019","984.60","975.69","984.75","975.69","64.71K","0.91%"
"Feb 12, 2019","975.76","962.15","978.53","962.15","68.67K","1.42%"
"Feb 11, 2019","962.11","949.05","962.11","949.05","35.20K","1.38%"
"Feb 01, 2019","948.98","937.86","949.14","936.84","26.72K","1.20%"
"Jan 31, 2019","937.70","935.62","940.31","934.80","29.73K","0.22%"
"Jan 30, 2019","935.62","936.24","937.98","933.02","28.29K","-0.07%"
"Jan 29, 2019","936.31","931.76","936.31","925.87","28.36K","0.51%"
"Jan 28, 2019","931.53","931.29","935.47","929.30","31.12K","-0.01%"
"Jan 25, 2019","931.64","934.26","935.04","927.20","31.04K","-0.29%"
"Jan 24, 2019","934.39","934.64","937.64","932.20","30.01K","-0.03%"
"Jan 23, 2019","934.64","930.71","935.39","930.15","37.54K","0.42%"
"Jan 22, 2019","930.70","922.98","934.76","922.98","48.46K","0.85%"
"Jan 21, 2019","922.85","917.58","923.49","916.29","38.85K","0.58%"
"Jan 18, 2019","917.50","918.90","920.48","914.30","37.54K","-0.16%"
"Jan 17, 2019","918.99","921.96","924.81","918.86","55.02K","-0.32%"
"Jan 16, 2019","921.96","921.84","926.01","920.83","42.68K","0.01%"
"Jan 15, 2019","921.89","914.72","921.89","913.43","35.71K","0.82%"
"Jan 14, 2019","914.38","918.84","921.25","912.43","37.63K","-0.49%"
"Jan 11, 2019","918.84","913.32","921.16","913.32","39.52K","0.60%"
"Jan 10, 2019","913.36","913.84","917.20","912.29","36.33K","-0.06%"
"Jan 09, 2019","913.87","905.42","913.89","905.42","43.48K","0.95%"
"Jan 08, 2019","905.28","907.13","908.80","902.72","35.37K","-0.20%"
"Jan 07, 2019","907.13","905.08","913.36","902.84","29.08K","0.42%"
"Jan 04, 2019","903.33","900.30","903.37","886.56","42.41K","0.35%"
"Jan 03, 2019","900.18","912.29","912.79","893.53","46.74K","-1.33%"
"Jan 02, 2019","912.29","930.06","932.11","912.29","30.85K","-1.88%"
"Dec 28, 2018","929.79","932.12","932.95","926.76","47.35K","-0.29%"
"Dec 27, 2018","932.49","919.19","933.95","919.19","40.98K","1.48%"
"Dec 26, 2018","918.87","921.71","925.48","914.16","37.35K","-0.32%"
"Dec 25, 2018","921.80","939.19","939.19","903.71","64.81K","-1.86%"
"Dec 24, 2018","939.23","948.80","950.55","938.11","45.90K","-1.01%"
"Dec 21, 2018","948.79","949.45","949.45","938.85","39.46K","-0.07%"
"Dec 20, 2018","949.48","938.74","949.48","936.71","34.40K","0.93%"
"Dec 19, 2018","940.70","944.42","947.02","934.71","38.98K","-0.43%"
"Dec 18, 2018","944.79","955.64","955.64","932.61","60.15K","-1.14%"
"Dec 17, 2018","955.64","975.13","975.13","955.33","60.76K","-2.00%"
"Dec 14, 2018","975.16","976.75","981.28","972.15","50.56K","-0.17%"
"Dec 13, 2018","976.84","977.26","981.15","976.03","57.74K","-0.03%"
"Dec 12, 2018","977.10","967.72","977.13","967.38","65.27K","1.00%"
"Dec 11, 2018","967.44","968.23","971.96","962.80","41.41K","-0.17%"
"Dec 10, 2018","969.08","977.18","977.18","967.82","39.26K","-0.78%"
"Dec 07, 2018","976.72","971.95","978.17","971.69","59.57K","0.49%"
"Dec 06, 2018","971.95","967.55","973.22","963.83","54.65K","0.45%"
"Dec 05, 2018","967.57","970.31","970.31","959.88","50.97K","-0.28%"
"Dec 04, 2018","970.31","966.63","971.51","962.45","85.12K","0.42%"
"Dec 03, 2018","966.27","946.97","966.27","946.97","52.53K","2.07%"
"Nov 30, 2018","946.65","944.55","948.42","939.10","36.03K","0.25%"
"Nov 29, 2018","944.30","948.46","954.09","942.43","36.70K","-0.29%"
"Nov 28, 2018","947.08","942.72","947.08","939.72","32.41K","0.45%"
"Nov 27, 2018","942.84","945.92","950.83","940.16","39.80K","-0.32%"
"Nov 26, 2018","945.83","950.15","950.15","944.19","32.34K","-0.44%"
"Nov 23, 2018","950.04","956.88","958.47","948.55","37.56K","-0.74%"
"Nov 22, 2018","957.09","956.85","963.19","955.62","40.25K","0.03%"
"Nov 21, 2018","956.85","955.33","957.01","946.11","43.24K","0.15%"
"Nov 20, 2018","955.39","954.29","955.78","948.66","42.69K","0.10%"
"Nov 19, 2018","954.42","946.50","954.45","946.50","46.60K","0.84%"
"Nov 16, 2018","946.50","941.75","949.16","941.73","61.21K","0.51%"
"Nov 15, 2018","941.71","945.14","949.13","938.77","48.24K","-0.42%"
"Nov 14, 2018","945.68","945.01","949.73","938.09","40.55K","0.06%"
"Nov 13, 2018","945.08","950.87","950.87","936.55","53.43K","-0.61%"
"Nov 12, 2018","950.87","950.36","950.87","939.68","40.05K","-0.08%"
"Nov 09, 2018","951.62","961.99","962.64","950.99","56.37K","-1.08%"
"Nov 08, 2018","962.04","954.27","966.25","954.27","60.66K","0.83%"
"Nov 07, 2018","954.14","957.98","958.97","948.51","39.78K","-0.46%"
"Nov 06, 2018","958.54","957.04","963.17","954.51","42.95K","0.18%"
"Nov 05, 2018","956.86","952.49","957.46","947.52","49.90K","0.35%"
"Nov 02, 2018","953.52","940.54","953.52","939.60","65.97K","1.38%"
"Nov 01, 2018","940.54","948.05","950.23","939.53","45.15K","-0.79%"
"Oct 31, 2018","948.03","932.32","948.13","932.32","52.36K","2.38%"
"Oct 30, 2018","925.97","929.93","933.07","920.33","46.49K","-0.62%"
"Oct 29, 2018","931.76","939.03","939.04","926.53","42.45K","-0.73%"
"Oct 26, 2018","938.62","949.42","959.02","938.62","50.10K","-1.08%"
"Oct 25, 2018","948.91","959.22","959.22","920.35","61.82K","-1.09%"
"Oct 24, 2018","959.35","972.48","975.24","958.97","43.64K","-1.35%"
"Oct 23, 2018","972.50","992.45","993.23","960.11","64.09K","-2.11%"
"Oct 22, 2018","993.50","1,009.38","1,013.61","993.50","52.14K","-1.57%"
"Oct 19, 2018","1,009.34","1,009.59","1,009.59","991.01","48.71K","-0.04%"
"Oct 18, 2018","1,009.77","1,020.50","1,020.50","1,007.94","36.41K","-1.04%"
"Oct 17, 2018","1,020.43","1,013.41","1,025.23","1,013.41","47.84K","0.83%"
