"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2016","789.82","792.49","794.06","785.73","19.52K","-0.19%"
"Nov 17, 2016","791.30","796.91","798.17","790.14","24.83K","-0.51%"
"Nov 16, 2016","795.38","793.31","796.93","793.19","16.02K","0.36%"
"Nov 15, 2016","792.55","794.58","795.97","790.52","19.07K","-0.08%"
"Nov 14, 2016","793.19","796.88","797.27","790.22","13.30K","-0.22%"
"Nov 11, 2016","794.95","795.38","800.01","793.84","13.39K","-0.08%"
"Nov 10, 2016","795.55","785.72","795.77","785.72","17.41K","2.16%"
"Nov 09, 2016","778.73","788.68","788.68","761.98","18.85K","-1.24%"
"Nov 08, 2016","788.51","789.75","792.73","785.96","14.65K","-0.09%"
"Nov 07, 2016","789.22","782.98","790.13","782.98","13.54K","0.78%"
"Nov 04, 2016","783.14","784.30","789.02","782.64","10.93K","-0.46%"
"Nov 03, 2016","786.75","789.77","790.40","779.80","17.60K","-0.52%"
